水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
12.7,7.61,10.3,264.2,93.4,0.45,0.14,0.029,2.52
12,7.73,8.73,255.4,92.7,1.09,0.212,0.06,1.74
13.8,8.27,8.17,340.9,2.5,1.63,0.049,0.016,0.22
12.6,8.1,11.04,469.7,1.7,1.56,0.025,0.023,1.64
10.6,8.07,7.85,356.9,15.9,2.05,0.025,0.015,0.85
12.7,7.61,10,639.2,2.8,2.54,0.207,0.154,6.03
13.8,7.75,9.07,429.3,1.2,0.73,0.029,0.01,3.27
11.8,8.34,9.96,396.8,5.2,0.84,0.065,0.012,3.01
14,8.4,10.99,354,2.1,0.42,0.025,0.028,2.14
11.2,7.98,11.91,722.7,1.7,2.58,0.141,0.163,8.07
13,7.68,9.38,371.9,0.6,0.42,0.031,0.012,1.66
15.2,7.94,8.01,443,0.4,0.87,0.025,0.05,2.58
16.5,7.77,8.82,447.7,6.3,0.44,0.025,0.054,2.64
11.4,7.89,9.71,634.6,2,2.46,0.025,0.092,4.6
11.4,7.77,10.65,373.8,2.8,0.43,0.055,0.008,0.62
12.4,8.14,11.54,445.3,17.8,1.36,0.052,0.031,3.04
13.2,8.53,11.8,437.2,25.4,0.99,0.04,0.018,3.99
14.4,8.58,9.74,516.8,14.9,0.76,0.051,0.009,3.71
12.5,8.01,9.88,435.1,2.8,0.66,0.025,0.011,2.85
18.1,8.12,7.92,356,8.6,0.85,0.025,0.008,2.19
17.6,7.94,8.07,404.7,1.7,0.69,0.049,0.006,2.26
12.7,8.31,12.05,446.5,4.7,0.55,0.025,0.044,3.94
13.5,8.18,11.34,355.9,38.9,1.2,0.061,0.059,2.25
15.6,7.92,9.81,420.4,1.6,0.73,0.025,0.042,3.01
11.9,7.87,12.56,459.6,2.5,1.05,0.025,0.02,1.25
12.2,8.08,13.24,395.4,9,1.14,0.12,0.085,1.93
16.9,8.25,10.19,413.5,2.4,0.93,0.025,0.016,2.45
20,8.07,8.34,542.8,0.5,0.8,0.025,0.013,2.34
20.5,8.08,8.43,365.2,8.7,1.43,0.025,0.012,2.06
13.2,8.7,15.97,478.5,8.4,0.34,0.025,0.025,2.51
16.1,8.04,9.5,485.5,2,0.8,0.029,0.005,4.67
19.7,7.76,7.86,418.3,5.7,0.58,0.041,0.021,3.03
18.9,7.73,7.97,378.1,1.8,0.53,0.031,0.015,2.11
15,7.92,10.06,202.4,1.3,0.99,0.025,0.02,1.03
13.9,7.87,9.29,132.4,10.5,0.94,0.025,0.043,0.51
12.6,8.02,12.54,205.7,3.7,0.54,0.029,0.007,0.8
11.2,8.45,11.92,545.2,3.7,0.97,0.025,0.036,2.22
12.2,8.46,10.81,431,8.2,1.17,0.025,0.012,2.09
9.7,8.54,11.4,652,0.2,0.85,0.025,0.06,2.31
13.9,7.68,10.21,130.8,11.8,0.51,0.118,0.101,1.02
13.9,8.34,11.26,213.2,4.8,1.46,0.077,0.018,0.38
12.2,8.26,11.61,1071.7,0.6,2.28,0.082,0.168,5.98
14.2,8.14,12.66,375.9,1.6,0.9,0.025,0.005,0.64
16.9,8.4,13.14,333.2,0.8,0.42,0.041,0.008,1.2
13.7,8.2,9.46,291,9.6,0.81,0.025,0.009,1.1
11.9,8.13,10.63,644.8,18.9,3.52,0.025,0.147,5.79
11.1,8.72,18.16,706.2,2.1,2.82,0.025,0.18,6.06
11.8,8.06,7.71,668.2,5.6,2.15,0.069,0.17,5.4
17.3,9.02,12.92,361.7,3,1.64,0.025,0.05,3.48
13.2,8.87,11.06,1063.9,2.4,4.02,0.025,0.064,6.63
14,8.49,12.73,615.1,2.9,2.57,0.025,0.019,5.9
15.9,7.3,7.69,480.6,4.2,3.17,0.188,0.163,7.58
14.8,8.34,7.18,437.7,7.7,1.28,0.025,0.058,4.02
13,9.07,9.96,323.2,14.4,1.23,0.025,0.039,1.4
14.2,8.07,6.64,443,1,3.4,0.189,0.03,0.57
12.7,8.28,7.92,777.9,40.4,4.5,0.198,0.285,5.65
14.7,8.65,9.08,419.2,3.8,1.18,0.025,0.054,3.71
15.9,9.3,16.12,606.7,10.8,1.96,0.025,0.064,3.3
12.9,8.95,13.16,392,1.7,1.01,0.197,0.028,1.84
12.2,8.47,7.88,468.9,12.4,4.19,0.352,0.048,4.18
12.7,8.25,9.18,465.8,8.8,5.88,0.512,0.049,1.46
13.4,8.32,9.84,468.4,10.4,6.49,0.311,0.039,1.62
13.3,8.5,9.25,489.4,8.2,5.82,0.45,0.036,1.68
13,8.09,8.4,478.5,9.9,5.96,0.535,0.033,1.97
14.2,8.56,8.8,486.1,6.9,5.64,0.441,0.042,2.19
12.2,8.47,9.55,482.4,11.7,6.52,0.293,0.047,1.51
13.9,10.19,8.8,471.3,12.7,6.17,0.456,0.037,1.84
14.2,7.71,7.77,496.6,4.9,2.27,0.154,0.067,5.72
12.7,8.78,11.19,541.5,0.5,1.34,0.025,0.042,4.73
10.8,8.37,9.78,360,3,0.94,0.077,0.01,1.04
11.4,7.82,7.6,310.7,6.4,1.27,0.255,0.089,1.45
16.1,7.95,13.33,469.5,13.2,1.18,0.028,0.024,1.48
13.6,8.58,11.43,377,19,0.61,0.025,0.019,1.83
16.5,8.57,10.73,504.4,14.3,1.18,0.025,0.068,3.46
16.3,8.57,12.64,592.6,14.6,1.8,0.025,0.028,4.34
19.5,8.02,9.82,386,85.4,1.18,0.025,0.04,1.01
14.6,8.34,7.25,306.7,1.6,0.94,0.025,0.008,0.13
12.8,9.59,10.88,798.3,5.6,7.42,0.025,0.039,0.93
15.7,8.13,8.48,589.8,13.5,2.31,0.964,0.155,7.42
15.1,8.79,9.69,601.7,10.8,7.03,0.025,0.065,1.32
12.1,8.47,10,373.6,18.4,0.35,0.025,0.005,0.54
18.2,8.2,9.92,459.4,33.3,0.39,0.025,0.031,1.38
11.6,8.25,9.87,531.2,1.6,0.79,0.025,0.005,0.49
13.7,7.89,9.12,116.1,10.9,1.03,0.034,0.019,0.35
12.1,8.49,10.39,381.2,8.1,0.25,0.025,0.019,2.37
12.6,8.64,8.63,398.4,2,0.25,0.025,0.016,1.89
15,8.17,9.78,391.5,5.5,0.25,0.025,0.036,3.57
14,8.17,9.68,356.3,12,0.44,0.025,0.038,3.23
12.2,8.19,10.22,337.6,16.9,0.47,0.04,0.038,2.09
10.9,8.12,7.78,246,1.3,1.36,0.025,0.005,0.05
7.3,8.48,10.57,987.9,27.7,0.79,0.025,0.005,0.55
14.1,8.39,9.99,1050.2,8.7,0.8,0.025,0.005,0.5
12.6,8.1,7.83,467.1,5.6,2.38,0.187,0.195,5.26
20.9,7.81,6.16,352.8,6.1,0.93,0.025,0.01,0.51
16.6,7.91,9.67,248.8,35,0.6,0.025,0.061,0.94
23.5,7.73,8.86,139.7,234.5,1.58,0.025,0.014,0.29
16.9,7.98,8.37,382.4,2.1,3.03,0.556,0.063,5.65
23.3,7.66,7.28,354.4,6,1.12,0.025,0.007,0.34
17.5,8.15,7.68,439.7,11.2,0.99,0.025,0.013,0.53
21.6,8.26,8.15,266.9,11.2,1.27,0.025,0.013,0.5
19,8.22,9.46,316.6,84.4,1.08,0.025,0.02,1.09
17.1,7.7,7.86,173.7,20.4,1.43,0.033,0.059,1.32
16,8.09,8.97,209.6,64.8,0.93,0.025,0.011,0.65
12.4,8.11,8.74,426.6,5.5,3.13,0.025,0.048,1.77
19.8,8.24,9.3,157.8,77.5,0.85,0.025,0.031,0.51
19.3,8.21,10.04,282,22.4,0.6,0.025,0.044,1.76
18.4,8.29,9.94,280,28.8,0.38,0.025,0.046,2.03
19.2,8.04,7.48,336.6,35.3,1,0.025,0.047,1.66
19,7.79,5.95,260.2,45,1.69,0.025,0.064,1.22
21.6,7.94,7.24,309.2,34,1.34,0.03,0.054,1.17
19.4,8.6,8.51,455.6,13.2,0.43,0.025,0.027,0.91
13.5,8.56,9.18,522.5,13,11.47,0.142,0.044,1.66
16.2,8.49,8.6,627.7,66.2,1.99,0.111,0.155,5.26
17.7,8.04,7.9,582.9,60,1.19,0.025,0.106,3.75
16.1,8.18,10.37,376,39.5,0.61,0.025,0.035,2.78
16.8,8.02,8.27,280.4,12,0.41,0.025,0.011,1.24
19.6,7.64,5.1,273.3,9.6,1.03,0.025,0.029,0.68
18.7,8.32,9.57,238.8,17.5,1.02,0.025,0.032,0.48
16.5,6.92,9.15,92.4,78.3,1.28,0.025,0.017,1.21
20.1,8.21,8.53,334.8,36.8,1.32,0.025,0.082,0.88
17.7,8.28,10.11,164.8,38.7,0.79,0.058,0.034,0.94
12.7,8.73,8.54,289.2,2.4,3.8,0.025,0.012,0.27
16.1,8.68,11.31,308.5,34.7,1.23,0.025,0.031,1.35
13.7,8.15,7.11,403.2,6.5,0.64,0.025,0.013,0.97
14.5,8.04,8.5,386.6,19,3.93,1.023,0.342,6.23
16.3,7.18,8.85,87.7,63.8,0.81,0.025,0.024,0.65
18.1,6.79,7.06,182.4,19.7,1.61,0.149,0.041,1.39
17.7,8.32,9.7,243.3,7,1.03,0.693,0.097,1.95
12,8.37,8.98,345.8,17.8,0.43,0.025,0.005,0.3
14,8.3,10.72,375.7,35.8,1.03,0.025,0.005,0.15
5.6,8.42,11.94,1245.1,4.5,0.84,0.025,0.005,0.54
6.7,8.31,10.76,474.7,16.4,0.78,0.025,0.005,0.37
4.3,8.42,9.49,199.7,29.9,0.81,0.048,0.012,0.73
4.8,7.64,8.1,176.2,5.3,1.82,0.042,0.013,0.49
9.1,8.4,12.01,1288.3,35.5,4.78,0.378,0.099,8.64
6.3,8.61,20.56,574.2,16.5,5.08,0.092,0.049,7.33
8.9,8,12.15,777.6,16.5,3.72,0.062,0.037,6.56
10.4,7.99,11.14,1323.3,6,5,0.079,0.089,8.09
1.3,8.84,12.31,1992.8,79.1,2.06,0.566,0.044,6.51
3.5,8.48,12.55,202.7,1.5,1.2,0.025,0.008,1.4
8.7,8.04,11.9,903.5,24,6.01,0.797,0.153,9.73
5.2,8.43,14.36,548.4,17.3,1.35,0.025,0.02,5.09
5.9,8.76,19.56,1036.4,14.2,3.83,0.025,0.026,8.32
6.9,8.3,11.21,387.9,4.5,2.48,0.025,0.019,1.87
8.4,8.69,15.94,890.5,12.3,3.78,0.048,0.059,10.55
10,8.37,15.4,817.7,17.2,3.85,0.191,0.078,12.08
7.2,8.39,11.28,1827.4,33.8,7.4,0.122,0.032,6.73
4.1,8.56,11.62,904.2,15.8,1.18,0.071,0.013,3.78
7.9,8.22,13.12,1418.7,16.4,4.17,0.211,0.089,10.04
5.4,8.38,11.84,1796.9,54.1,3.93,0.093,0.116,8.82
5.5,8.44,12.19,2941.5,21.9,4.9,0.543,0.086,7.45
5.9,8.53,16.21,589.1,19.5,3.15,0.059,0.029,4.72
0.4,8.65,13.7,1958.7,30.6,2.88,0.973,0.005,13.06
1.1,8.56,13.24,1706.3,19.8,2.7,0.508,0.05,13.73
7.2,8.69,14.79,1414.5,15.8,3.88,0.533,0.168,12.26
8.3,7.92,11.08,349.9,14.6,1.22,0.044,0.041,3.03
8.7,8.16,10.23,329.1,19,0.27,0.025,0.011,1.94
9.6,7.42,7.8,406.2,67.9,2.22,0.025,0.073,3.17
7.8,8,11.25,361,2281,1.82,0.025,0.029,1.66
6.3,8.26,11.51,413.9,9.5,0.75,0.073,0.012,1.61
0.8,8.34,11.17,1222.2,74,1.83,0.049,0.038,3.67
21.9,6.92,10.65,1553,14.6,1.97,0.85,0.06,4.73
1.9,8.34,12.03,1305.6,24.3,1.66,0.043,0.028,3.63
0.9,8.56,11.62,897.9,17.2,0.88,0.135,0.039,2.82
4.6,8.45,10.63,696,214.9,4.6,0.371,0.16,2.86
8.2,8.35,13.16,200.8,11.1,4.37,0.058,0.009,0.58
8.3,8.2,9.86,322.4,4.8,1.4,0.046,0.031,2
12,8.1,10.66,287.1,23.6,1.84,0.084,0.033,1.52
12.9,7.94,8.28,232,2.9,1.8,0.025,0.029,1.38
6.8,8.25,11.47,421.3,16.1,0.92,0.025,0.018,1.71
8.6,8.32,12.16,618.5,23.4,1.85,0.113,0.042,5.85
6.7,8.23,11.89,483.3,7.3,0.59,0.025,0.013,2.26
5.8,8.64,10.78,515.7,11,1.01,0.027,0.005,1.46
4.3,8.52,9.68,654.7,33.2,1.45,0.149,0.046,1.68
2.1,8.33,9.48,984.1,9.6,2.38,0.608,0.071,4.9
4.6,8.37,11.15,548.8,3,0.25,0.025,0.006,1.91
19.4,8.04,5.94,41.9,33.6,0.99,0.14,0.015,2.83
6,8.47,10.68,942.6,15.6,0.88,0.061,0.037,4.04
3.3,8.45,11.62,656.1,10.2,1.11,0.149,0.012,2.41
4.2,8.75,12.87,1323.7,24.2,2.48,0.214,0.082,9.93
3.8,8.4,12,1259.6,173.2,3.04,0.755,0.194,9.63
5.4,8.43,14.21,517.7,12.9,0.96,0.025,0.005,2.04
1.8,8.46,11.64,712.5,6.8,0.25,0.025,0.005,1.58
5.7,8.22,10.41,678.5,12.6,1.05,0.092,0.033,2.93
5,8.11,10.83,716.5,19.9,0.33,0.047,0.02,3.25
1.2,8.5,11.1,1229.2,517.2,2.1,0.455,0.115,6.59
6.4,8.39,10.63,485.6,166.4,1.04,0.049,0.032,1.73
5.6,8.48,11.2,478.8,46.4,0.92,0.044,0.005,1.07
3.6,8.55,11.43,523.8,26.2,0.82,0.238,0.021,3.44
4.5,8.27,8.66,1075.1,48.5,1.97,0.96,0.11,6.12
4.7,8.07,9.4,736.3,15,4.16,0.155,0.042,4.43
5.1,8.58,9.83,362.8,2.3,1.72,0.025,0.008,1.3
8.8,7.95,10.93,457,11,0.25,0.025,0.007,0.72
1.5,7.48,8.89,786,72,0.89,0.964,0.108,4.98
1.3,8.36,13.26,515,212,0.33,0.034,0.005,1.51
5.5,8.57,8.51,386.3,12.5,1.55,0.025,0.009,1.59
4.8,8,12.08,424,8,0.25,0.025,0.005,0.83
1.6,8.32,14.44,557,73,1.47,0.028,0.008,1.33
5.9,8.47,8.62,441.3,3.5,1.51,0.025,0.012,0.64
6.1,8.28,10.74,638.1,19.2,0.27,0.025,0.005,0.96
3,8.12,11.19,770.6,33.1,1.23,0.193,0.03,2.52
3,8.24,11.56,815.4,21.7,1.18,0.111,0.022,2.77
5.2,8.06,7.94,1767,17.7,4.14,0.287,0.028,0.69
2.3,8.59,10.16,863.9,28.1,1.63,0.15,0.009,3.29
3.5,8.61,9.39,689.3,24.8,1.84,0.849,0.051,5.42
3.3,8.6,11.46,780.1,8.5,1.35,0.189,0.013,2.97
5.3,8.43,11.86,641.5,4,2.58,0.025,0.005,0.77
7.7,8.29,10.95,463.1,11.9,0.25,0.098,0.008,1.98
4.6,7.86,10.26,783.4,11.3,2.67,0.025,0.006,0.75
6.6,7.79,16.54,1431.8,5.1,0.69,0.025,0.006,1.84
5.3,7.91,12.05,500.3,42.4,0.43,0.025,0.011,1.91
2.8,7.59,13.97,352.8,30.5,0.25,0.025,0.005,1.55
3.3,8,10.87,337.1,21.6,0.83,0.025,0.012,1.62
2.3,8.2,14.93,232.5,90.2,0.64,0.025,0.005,1.39
3.9,7.35,13.33,116.9,2.4,1.11,0.04,0.013,0.77
4.3,8.08,12.62,676.6,2.8,1.16,0.025,0.011,3.85
5.3,7.91,12.85,1099.8,4.9,1.86,0.198,0.037,13.76
7.3,7.61,11.64,899.3,4.1,3.82,0.278,0.087,9.13
11,7.28,8.76,844.9,2.5,4.86,0.045,0.065,11.37
5.2,8.41,13.79,1379.4,2.4,4.13,0.029,0.018,0.81
9.6,7.25,8.4,919.5,9.1,2.78,0.037,0.113,7.6
13.4,7.71,11.77,917.5,5.6,2.58,0.183,0.112,9.2
7.9,7.59,11.26,707.3,1.7,1.49,0.102,0.024,7.65
1.9,7.68,13.22,1192.5,2.7,2.4,0.124,0.031,7.43
2.7,7.73,15.49,1361.6,5.3,3.37,0.182,0.038,8.07
2.6,8.35,13.8,1299.9,0.8,3.03,0.685,0.142,9.17
2.8,7.99,9.94,1311,14.3,3.46,0.534,0.115,8.79
4.4,8.21,12.39,393.7,1.5,1.66,0.025,0.005,0.92
1.2,8.3,12.64,487.6,1.2,2.27,0.025,0.005,1.9
1.3,8.25,13.22,535.2,1.2,0.7,0.025,0.005,3.18
0.8,7.95,11.95,766.4,3.1,0.75,0.025,0.005,9.37
4.8,7.89,11.46,790.8,3.1,1.82,0.025,0.005,4.01
3.1,8.05,10.15,648.2,8.5,1.05,0.178,0.005,11.62
4.3,8.46,15.17,787.5,4.3,3.04,0.197,0.033,2.04
6.3,8.67,15.85,788.7,4.3,3.13,0.093,0.019,1.52
5.2,8.77,17.46,781.6,3.1,3.96,0.072,0.069,2.08
6.6,8.5,15.99,1252.7,3.4,4.8,0.22,0.036,1.6
4.3,8.15,14.02,266.6,1.5,1.12,0.082,0.005,1.26
5.7,8.59,14.96,835.3,3.5,3.78,0.135,0.044,2.58
3.2,8.78,15.36,1164.5,6.8,4.31,0.084,0.071,9.47
1.1,8.11,11.36,634.4,5.7,3.96,0.203,0.016,2.53
3.9,8.34,14.44,1016.7,4.2,4.02,0.209,0.038,7.94
2,8.87,27.67,1057.7,3,3.73,0.025,0.034,10.07
6.2,8.26,14.85,1713.2,3.6,4.73,0.178,0.077,4.62
7.4,8.6,15.67,13226.6,28.4,9.11,0.383,0.166,2.5
3.2,8.17,11.38,7551.3,85.9,10.73,0.189,0.141,1.88
4.9,8.51,13.03,1670.1,17.9,7.38,0.284,0.069,3.83
7,8.52,13.35,6440.1,18,8.25,0.489,0.13,3.05
3.9,8.59,13.83,2313.7,35.3,4.54,0.152,0.083,6.23
7.9,8.64,11.61,1547.9,19.5,4.35,0.225,0.07,7.34
4.1,8.2,11.24,605.2,1.4,2.67,0.292,0.016,2.66
2.9,8.13,14.62,771.1,4.7,1.15,0.025,0.018,12.17
4.2,7.78,12.91,970.5,1.4,2.37,0.114,0.051,12.77
3.9,8.06,13.62,788.6,14.5,0.88,0.025,0.014,12.68
3.1,7.81,16.9,849.4,5.8,1.67,0.025,0.02,2.94
3,8.55,13.49,679.4,11.1,0.9,0.101,0.021,4.77
13.2,8.26,9.85,1422.9,17.7,0.81,0.457,0.054,5.88
7.6,8.61,12.32,1100.7,13.6,1.43,0.153,0.019,7.97
3.9,8.64,12.28,540.7,2.5,1.39,0.032,0.012,2.49
8.8,7.83,9.6,1626.4,10.7,6.42,0.988,0.157,11.72
2.3,8.2,12.98,628,1.5,1.89,0.025,0.021,5.19
2.6,8.15,12.14,1604.7,3.3,4.49,1.499,0.134,11.27
3.1,8.44,18.82,1471.9,1.9,3.97,0.054,0.022,2.85
3.1,8.27,10.85,716.7,2.3,1.28,0.353,0.034,5.78
0.4,8.32,14.87,47346.6,26,16.34,0.829,0.081,4.46
8,8.25,13.31,577.7,0.6,1.12,0.025,0.01,5.56
4.5,8.17,18.17,718,0.9,2.99,0.025,0.005,3.48
3.9,8.22,18.4,1138.6,3.2,1.9,0.267,0.032,6.46
5.6,7.85,17.2,1581.7,2.9,3.29,0.129,0.033,9.31
0.2,8.44,15.39,48443.4,25.4,5.91,1.015,0.087,1.77
7.7,6.05,7.83,39623.9,18,6.01,0.313,0.031,1.86
6.4,8.49,11.02,632.3,4.1,1.57,0.025,0.005,4.14
4.4,8.39,15.05,1165.6,13.1,3.09,0.261,0.05,5.97
2.8,8.52,14.6,1936.9,21.2,3.42,0.956,0.059,8.07
5.3,8.4,12,1827.7,18.8,6.28,0.802,0.112,10.88
7.3,7.95,11.04,846.6,6.8,2.67,0.2,0.11,8.9
3.5,8.23,12.52,481.4,0.02,0.43,0.05,0.005,3.52
2.8,8.03,12.91,1820.6,7.9,2.38,0.025,0.033,5.47
5.5,8.3,12.08,1795.3,7.5,2.82,0.025,0.058,4.95
3.9,8.44,13.09,672.4,6.8,1.99,0.025,0.01,4.61
3.8,8.58,11.62,580.8,7.8,0.6,0.025,0.02,7.28
2.5,8.37,9.87,1168.3,7.5,1.44,0.025,0.005,6.97
0.4,8.82,10.88,1478.6,9.2,2.13,0.443,0.102,7.71
2.6,8.07,8.06,870.4,18.3,1.32,0.488,0.095,6.83
1.8,8.23,12.38,723.6,0.9,1.42,0.025,0.013,6.92
0.9,8.4,12.3,531.7,1.1,0.97,0.025,0.005,2.75
2.3,8.32,12.63,1158.1,0.3,0.97,0.025,0.005,2.31
0.1,7.98,10.92,572.5,2.1,1.32,0.025,0.005,5.75
2,8.04,11.08,1008.7,8.1,2.21,0.256,0.076,9.52
3.2,8.09,11.41,984.9,2.3,1.55,0.025,0.082,12.11
0.6,7.96,11.01,667.1,2.5,0.96,0.025,0.005,7.87
2.6,7.58,5.04,692.7,3.1,1.27,0.073,0.034,10.58
0.8,8.03,12.02,975.7,3.3,1.03,0.025,0.005,8.3
2.6,7.63,9.04,510.6,1,3.47,0.025,0.014,10.35
6.4,7.8,6.18,2436.1,10,4.97,0.132,0.05,0.93
3.5,8.74,28.45,1945.8,3.3,5.34,0.029,0.132,2.51
9.6,7.77,8.44,1468.2,10.2,4.35,0.112,0.028,1.36
3.3,7.54,10.25,741,5,2.44,0.025,0.017,1.3
3.8,8.3,15.69,1137.9,4.1,3.52,0.04,0.063,9.55
2.9,8.51,19.46,1042.6,3.8,4.62,0.05,0.083,9.93
3.6,8.27,14.51,1034.9,2.8,4.12,0.096,0.028,1.37
5.1,8.06,11.24,969,2.8,3.17,0.064,0.039,4.8
1.2,7.6,10.29,1224.7,1.4,5.05,1.183,0.095,12.32
5.1,8.79,15.2,1371.8,14.8,3.71,0.087,0.025,4.61
3,8.73,11.72,615.6,4.1,1.07,0.025,0.008,3.46
5.9,8.47,11.05,1052.9,1.9,5.61,0.025,0.015,0.53
5.3,7.91,9.99,1297.6,16,4.09,1.276,0.158,7.8
2.5,8.34,10.7,715,5.8,1.48,0.025,0.005,2.02
1.6,8.28,9.64,1136.2,8.9,2.17,0.621,0.168,13.22
4.3,8.36,11.39,562.6,5,0.88,0.128,0.056,7.04
7.4,8.15,7.49,1414.4,3,1.91,0.025,0.06,0.64
1,8.4,10.97,1043.1,2.7,2.04,0.19,0.043,9.18
0.9,8.12,9.25,2008.3,4.4,3.7,0.265,0.046,7.09
4,8.24,11.4,591.4,47.4,1.42,0.051,0.058,4.91
3,8.06,11.5,771.3,5.4,1.41,0.095,0.018,5.78
5,7.6,8.19,822,5.2,2.11,0.054,0.021,5.97
6.2,7.79,9.71,715,2.6,1.93,0.125,0.023,1.48
4.8,7.98,10.63,1103.4,5.1,2.49,0.253,0.066,10.28
4.1,8.06,11.47,523.2,1.6,2.53,0.029,0.015,1.3
6.7,8.11,11.75,913.1,7.3,1.42,0.025,0.028,4.75
1.8,8.53,15.83,1161,20.6,5.34,0.138,0.124,4.48
2.9,8,11.57,683.6,2.8,0.55,0.025,0.01,3.82
1.5,7.99,8.76,2945.9,22,5.81,1.674,0.07,16.32
1.9,8.3,11.69,1474.8,43.6,6.01,2.246,0.153,8.61
1.7,8.44,11.93,980.1,6.9,3.22,0.152,0.035,5.16
5.4,7.95,11.2,848.9,9.2,0.9,0.025,0.01,5.24
7,7.7,9.54,2041.3,16.9,5.39,0.897,0.134,11.45
5.2,8.21,9.37,1019,20.9,1.43,0.531,0.03,4.88
1.3,8.3,10.07,790.9,41.1,1.79,1.026,0.134,6.71
1.3,7.97,9.67,922.5,37.6,1.72,0.715,0.088,6.18
3.9,7.99,10.27,539.4,42.9,1.44,0.491,0.077,4.88
8.7,7.96,9.31,504.7,2.8,1.09,0.025,0.005,3.9
1.1,8.25,9.67,1062.7,23.5,1.78,0.465,0.073,4.54
5.5,8.56,10.86,1460.8,39.1,3.87,1.598,0.091,7.69
1.7,8.33,10.63,1078.1,10,1.46,0.286,0.034,7.54
1.6,8.15,7.97,665.9,18,1.89,0.674,0.111,5.99
0.4,8.07,9.96,651.1,24.8,0.81,0.226,0.047,6.12
0.7,8.53,10.66,1303.1,13.2,0.92,0.025,0.135,16.23
2.8,8.45,11.25,1196.1,8.3,3.03,2.256,0.068,10.11
1.6,8.11,10.51,1022,18.7,1.8,0.025,0.164,6.14
1.3,8.64,9.21,1347.6,17.9,0.76,0.025,0.098,11.56
1.9,8.12,11.94,609.4,1.5,1.35,0.025,0.005,2.9
0.9,7.78,11.25,1542.8,43.1,4.49,0.762,0.119,8.02
2.4,8.35,10.64,1104.6,263.9,1.34,0.04,0.011,3.38
0.9,8.38,10.86,1060.7,176.8,1.92,0.061,0.009,3.26
2.9,7.94,8.87,1375.2,6,2.63,0.056,0.036,4.26
0.5,8.29,12.76,1011.8,98,1.13,0.025,0.026,2.96
7.6,6.76,5.36,117.4,3.2,1.26,0.047,0.014,0.15
4.7,7.13,6.4,238.6,10.9,2.57,0.025,0.067,0.94
2.9,6.54,8.97,94.4,2.2,1,0.121,0.008,0.88
0.9,8.34,12.57,994.9,62.5,1.84,0.025,0.059,3.71
0.6,8.43,12.47,987.6,4.6,0.92,0.081,0.014,3.05
3.3,7.88,9,858.5,7.8,0.88,0.025,0.007,5.39
0.7,8.5,9.94,968.8,48.5,0.92,0.09,0.016,3.17
10.5,7.14,8.6,1037.5,1.5,5.22,0.658,0.077,9.16
7,7.46,12.51,930.1,3.8,2.86,0.751,0.147,7.48
6.2,7.67,12.65,835.6,7.8,2.39,0.025,0.097,7.9
4.1,7.15,10.26,655.8,9.9,2.87,0.5,0.046,7.59
5,7.28,10.81,679.7,12.5,2.44,0.622,0.06,7.23
1.7,7.37,10.43,459.8,0.2,1.29,0.079,0.029,2.81
2.8,7.33,11.87,288.2,12.4,1,0.025,0.008,5.21
1.4,7.7,11.57,752.3,2.6,2.09,0.627,0.066,10.92
0.6,7.84,11.68,601.8,8.8,4.07,0.942,0.336,13.59
2.4,7.92,13.54,709.3,3.3,1.96,0.299,0.066,11.16
3.8,7.42,11,124.5,1.1,1.85,0.025,0.011,2.63
1.1,7.5,11.63,730.3,4.6,2.37,0.959,0.112,13.67
1.1,7.7,8.57,728.2,5.6,2.03,0.79,0.062,6.55
2.3,7.82,10.92,353.9,0.7,0.88,0.095,0.013,4.59
1.9,8.35,9.66,841.8,15.4,2.11,0.179,0.058,13.28
1.4,7.76,11.89,397.1,0.5,0.38,0.025,0.012,5.03
3.5,7.46,13.3,228.2,1.2,2.03,0.025,0.028,3.39
0.5,7.78,13.9,643.3,1.9,2.02,0.402,0.038,5.78
2.4,7.32,8.56,262.6,1.6,1.79,0.026,0.018,3.81
1.7,7.41,15.9,268.6,1.1,0.51,0.052,0.021,5.18
2.6,7.43,11.05,304.9,3.3,1.2,0.025,0.018,3.49
2.2,7.83,9.47,312.8,1,1.34,0.025,0.008,3.18
1,7.19,12.27,112.8,1.2,0.33,0.025,0.005,3.44
6.5,7.4,10.45,142.2,1.6,2.45,0.039,0.015,1.8
3,7.2,10.06,147.9,1.2,0.47,0.025,0.014,3.58
1.8,8.1,11.67,803.6,9.2,1.82,0.059,0.021,5.86
2.2,8,9.94,798.7,14.4,2,0.435,0.048,8.18
3.9,7.65,11.72,907.2,3.6,1.23,0.146,0.018,22.02
3.6,7.98,11.25,416.3,11.1,1.49,0.025,0.016,1.86
3,8.29,12.44,1378.7,4.3,2.79,0.121,0.111,15.4
4.4,8.18,1.43,1218.7,12.9,3.14,1.314,0.107,15.31
1.2,7.03,14.48,275.2,3.2,0.76,0.025,0.01,7.93
3.6,7.46,14.27,449.9,6,1.91,0.126,0.028,10.8
2.1,7.51,11.35,980.5,23.5,2.47,1.686,0.1,7.77
1.7,7.88,8.45,468.8,0.9,0.6,0.025,0.006,4.28
1.8,7.73,11.02,611.9,9.1,1.37,0.732,0.032,5.95
1.6,7.95,9.1,503.9,1.1,0.96,0.025,0.009,6.81
